ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
8591.T,ORIX CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8591.T,2026-07-02,Yahoo Finance via yfinance,41836606935.14,42,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8750.T,DAIICHI LIFE GROUP INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8750.T,2026-07-02,Yahoo Finance via yfinance,39681183506.87,43,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8015.T,TOYOTA TSUSHO CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8015.T,2026-07-02,Yahoo Finance via yfinance,39073227105.54,44,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8725.T,MS&AD INS GP HLDGS,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8725.T,2026-07-02,Yahoo Finance via yfinance,38194481474.64,45,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6178.T,JAPAN POST HLDGS CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6178.T,2026-07-02,Yahoo Finance via yfinance,37442769102.35,46,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
2802.T,AJINOMOTO CO INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/2802.T,2026-07-02,Yahoo Finance via yfinance,36316605393.69,47,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7267.T,HONDA MOTOR CO,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7267.T,2026-07-02,Yahoo Finance via yfinance,35266690672.68,48,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6301.T,KOMATSU,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6301.T,2026-07-02,Yahoo Finance via yfinance,34717908930.98,49,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6702.T,FUJITSU,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6702.T,2026-07-02,Yahoo Finance via yfinance,34550820518.17,50,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
4578.T,OTSUKA HLDGS CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/4578.T,2026-07-02,Yahoo Finance via yfinance,34523600948.95,51,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8630.T,SOMPO HOLDINGS INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8630.T,2026-07-02,Yahoo Finance via yfinance,34311089597.73,52,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
