ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
AGHOL.IS,ANADOLU GRUBU HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AGHOL.IS,2026-07-02,Yahoo Finance via yfinance,1777567107.79,56,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ZRGYO.IS,ZIRAAT GMYO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ZRGYO.IS,2026-07-02,Yahoo Finance via yfinance,1768266255.97,57,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MPARK.IS,MLP SAGLIK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MPARK.IS,2026-07-02,Yahoo Finance via yfinance,1741825714.36,58,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
IEYHO.IS,ISIKLAR ENERJI YAPI HOL.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/IEYHO.IS,2026-07-02,Yahoo Finance via yfinance,1735733814.42,59,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BRSAN.IS,BORUSAN BORU SANAYI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BRSAN.IS,2026-07-02,Yahoo Finance via yfinance,1702886253.41,60,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
EKGYO.IS,EMLAK KONUT GMYO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/EKGYO.IS,2026-07-02,Yahoo Finance via yfinance,1672715188.95,61,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TEHOL.IS,TERA YATIRIM TEK. HOL.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TEHOL.IS,2026-07-02,Yahoo Finance via yfinance,1633841560.75,62,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
LIDER.IS,LDR TURIZM,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/LIDER.IS,2026-07-02,Yahoo Finance via yfinance,1538793982.65,63,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PEKGY.IS,PEKER GMYO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PEKGY.IS,2026-07-02,Yahoo Finance via yfinance,1512953309.13,64,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
UFUK.IS,UFUK YATIRIM,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/UFUK.IS,2026-07-02,Yahoo Finance via yfinance,1512172269.3,65,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
RALYH.IS,RAL YATIRIM HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/RALYH.IS,2026-07-02,Yahoo Finance via yfinance,1451496499.96,66,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
