ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
ICG.L,ICG,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
IGG.L,IG Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
IHG.L,IHG Hotels & Resorts,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Travel & leisure,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
IMI.L,IMI,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Industrial engineering,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
IMB.L,Imperial Brands,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Tobacco,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
INF.L,Informa,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Media,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
IAG.L,International Airlines Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Travel & leisure,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ITRK.L,Intertek,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
INVP.L,Investec,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial Services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
JD.L,JD Sports,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,General retailers,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BGEO.L,Lion Finance Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Banking Services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
KGF.L,Kingfisher plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Retailers,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
LAND.L,Land Securities,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Real estate investment trusts,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
LGEN.L,Legal & General,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Life insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
LLOY.L,Lloyds Banking Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Banks,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
LMP.L,LondonMetric Property,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Real Estate Investment Trusts,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
LSEG.L,London Stock Exchange Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
MNG.L,M&G,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
MKS.L,Marks & Spencer,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Food & drug retailing,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
