ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
ORCL,Oracle Corporation,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ORCL,2026-07-02,Yahoo Finance via yfinance,410467106816.0,31,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
COST,Costco Wholesale Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/COST,2026-07-02,Yahoo Finance via yfinance,410071564288.0,32,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GE,GE Aerospace,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GE,2026-07-02,Yahoo Finance via yfinance,391748419584.0,33,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
UNH,UnitedHealth Group Incorporated,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/UNH,2026-07-02,Yahoo Finance via yfinance,387359899648.0,34,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ARM,Arm Holdings plc,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ARM,2026-07-02,Yahoo Finance via yfinance,360444559360.0,35,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
HD,"Home Depot, Inc. (The)",NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/HD,2026-07-02,Yahoo Finance via yfinance,349828415488.0,36,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KO,Coca-Cola Company (The),NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KO,2026-07-02,Yahoo Finance via yfinance,349748789248.0,37,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KLAC,KLA Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KLAC,2026-07-02,Yahoo Finance via yfinance,347717402624.0,38,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PG,Procter & Gamble Company (The),NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PG,2026-07-02,Yahoo Finance via yfinance,343305355264.0,39,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MS,Morgan Stanley,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MS,2026-07-02,Yahoo Finance via yfinance,334163574784.0,40,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
