Subperiod,Strategy,Start,End,CAGR,Sharpe,Max_Drawdown,CAGR_Diff_vs_Equal_Weight,Sharpe_Diff_vs_Equal_Weight
2022 inflation/rate shock,Regime-Aware Allocation,2022-01-03,2022-12-30,-0.17299609837818086,-1.1826779336948274,-0.2250037900414119,-0.014558265016378136,-0.1894813265283951
recent period,Regime-Aware Allocation,2024-01-01,2026-06-24,0.15089952739929835,0.8248750980318953,-0.14599293319081075,-0.00671421054665422,-0.029759712877233113
pre-COVID,Asset-Class Momentum Rotation,2019-10-17,2020-02-19,0.15801205367708882,1.512517953899929,-0.02982977751030913,-0.1319431234027204,-0.7221586376367874
COVID crash,Asset-Class Momentum Rotation,2020-02-20,2020-04-30,-0.5823041784202019,-1.3097176425891472,-0.32236680999709966,-0.023273499173635193,0.16561553609332047
2022 inflation/rate shock,Asset-Class Momentum Rotation,2022-01-03,2022-12-30,-0.19888540699153856,-1.0888460926259174,-0.2565272290465742,-0.040447573629735833,-0.09564948545948504
recent period,Asset-Class Momentum Rotation,2024-01-01,2026-06-24,0.2351062250310676,0.778029949435398,-0.27695825345346725,0.07749248708511502,-0.07660486147373036
pre-COVID,Signal-Aware HRP Lite,2019-10-17,2020-02-19,0.13053687256355118,2.801930324062942,-0.012798070573733611,-0.15941830451625805,0.5672537325262255
COVID crash,Signal-Aware HRP Lite,2020-02-20,2020-04-30,-0.3086257726583522,-1.4086302038846774,-0.16876651333762416,0.25040490658821446,0.0667029747977903
2022 inflation/rate shock,Signal-Aware HRP Lite,2022-01-03,2022-12-30,-0.11606298382242475,-1.576746638696703,-0.16254900642041048,0.04237484953937798,-0.5835500315302707
recent period,Signal-Aware HRP Lite,2024-01-01,2026-06-24,0.10497183650532893,0.9269415023855297,-0.0622736761888808,-0.05264190144062364,0.07230669147640134
pre-COVID,Shrunk Max Sharpe Nested,2019-10-17,2020-02-19,0.23740976741192377,2.2294576443662266,-0.050368338452698946,-0.052545409667885457,-0.005218947170489763
COVID crash,Shrunk Max Sharpe Nested,2020-02-20,2020-04-30,-0.13204202190670256,-0.44260809852650124,-0.1575696705762346,0.42698865733986413,1.0327250801559664
2022 inflation/rate shock,Shrunk Max Sharpe Nested,2022-01-03,2022-12-30,-0.2153609654293338,-1.3267076335148233,-0.2339373293758017,-0.05692313206753108,-0.333511026348391
recent period,Shrunk Max Sharpe Nested,2024-01-01,2026-06-24,0.12652712098733998,0.9645957990069701,-0.0956040855568252,-0.03108661695861259,0.10996098809784172
