Date,Strategy,Is_Rebalance_Date,Asset_Count,Nonzero_Weight_Count,Weight_Sum,Min_Weight,Max_Weight,Long_Only,Sum_To_One,Cap_Check_Applies,Max_Weight_Cap,Cap_Respected_On_Rebalance,Top_Ticker,Top_Asset_Class,Top_Weight
2020-01-01,Asset-Class Momentum Rotation,False,37,37,1.0,0.005089177956340888,0.2568599509790066,True,True,False,0.25,True,VNQI,reits,0.2568599509790066
2020-01-02,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.005087866774012503,0.25679377325217473,True,True,False,0.25,True,VNQI,reits,0.25679377325217473
2020-01-03,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.004972252779818801,0.25846623489398074,True,True,False,0.25,True,VNQI,reits,0.25846623489398074
2020-01-06,Asset-Class Momentum Rotation,False,37,37,1.0,0.00493948496885305,0.25684438033383616,True,True,False,0.25,True,VNQI,reits,0.25684438033383616
2020-01-07,Asset-Class Momentum Rotation,False,37,37,1.0,0.004981434252010398,0.2546057096935694,True,True,False,0.25,True,VNQI,reits,0.2546057096935694
2020-01-08,Asset-Class Momentum Rotation,False,37,37,1.0,0.005003920951846883,0.25516329801248555,True,True,False,0.25,True,VNQI,reits,0.25516329801248555
2020-01-09,Asset-Class Momentum Rotation,False,37,37,1.0,0.005018883948957718,0.2541643457872211,True,True,False,0.25,True,VNQI,reits,0.2541643457872211
2020-01-10,Asset-Class Momentum Rotation,False,37,37,1.0,0.005030663376256958,0.2541930269144379,True,True,False,0.25,True,VNQI,reits,0.2541930269144379
2020-01-13,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.005119948397596855,0.25317360446525883,True,True,False,0.25,True,VNQI,reits,0.25317360446525883
2020-01-14,Asset-Class Momentum Rotation,True,37,37,1.0,0.002341142115312124,0.0629606934610753,True,True,True,0.25,True,XLU,us_equity_sectors,0.0629606934610753
2020-01-15,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023374179650127976,0.06272220005090477,True,True,False,0.25,True,XLU,us_equity_sectors,0.06272220005090477
2020-01-16,Asset-Class Momentum Rotation,False,37,37,1.0,0.0023462854495382387,0.06342127758529816,True,True,False,0.25,True,XLU,us_equity_sectors,0.06342127758529816
